"No.","Time","Source","Destination","Protocol","Length","Sequence Number","Info"
"368","98.810227","10.9.2.177","157.240.195.56","TLSv1.2","146","13399","Application Data"
"369","98.819747","10.9.2.177","157.240.195.56","TLSv1.2","148","13491","Application Data"
"370","98.819893","10.9.2.177","157.240.195.56","TLSv1.2","148","13585","Application Data"
"371","98.819976","10.9.2.177","157.240.195.56","TLSv1.2","146","13679","Application Data"
"372","98.820026","10.9.2.177","157.240.195.56","TLSv1.2","148","13771","Application Data"
"373","98.820065","10.9.2.177","157.240.195.56","TLSv1.2","146","13865","Application Data"
"374","98.820149","10.9.2.177","157.240.195.56","TLSv1.2","148","13957","Application Data"
"375","98.820222","10.9.2.177","157.240.195.56","TLSv1.2","146","14051","Application Data"
"376","98.820293","10.9.2.177","157.240.195.56","TLSv1.2","148","14143","Application Data"
"377","98.820618","10.9.2.177","157.240.195.56","TLSv1.2","146","14237","Application Data"
"378","98.820701","10.9.2.177","157.240.195.56","TLSv1.2","148","14329","Application Data"
"379","98.820742","10.9.2.177","157.240.195.56","TLSv1.2","148","14423","Application Data"
"380","98.820923","10.9.2.177","157.240.195.56","TLSv1.2","146","14517","Application Data"
"381","98.820989","10.9.2.177","157.240.195.56","TLSv1.2","148","14609","Application Data"
"382","98.821025","10.9.2.177","157.240.195.56","TLSv1.2","148","14703","Application Data"
"383","98.821077","10.9.2.177","157.240.195.56","TLSv1.2","148","14797","Application Data"
"384","98.821147","10.9.2.177","157.240.195.56","TLSv1.2","146","14891","Application Data"
"385","98.821277","10.9.2.177","157.240.195.56","TLSv1.2","148","14983","Application Data"
"386","98.821381","10.9.2.177","157.240.195.56","TLSv1.2","146","15077","Application Data"
"387","98.821485","10.9.2.177","157.240.195.56","TLSv1.2","148","15169","Application Data"
"388","98.821572","10.9.2.177","157.240.195.56","TLSv1.2","146","15263","Application Data"
"389","98.821668","10.9.2.177","157.240.195.56","TLSv1.2","148","15355","Application Data"
"390","98.821751","10.9.2.177","157.240.195.56","TLSv1.2","146","15449","Application Data"
"391","98.821852","10.9.2.177","157.240.195.56","TLSv1.2","148","15541","Application Data"
"392","98.821934","10.9.2.177","157.240.195.56","TLSv1.2","146","15635","Application Data"
"393","98.822025","10.9.2.177","157.240.195.56","TLSv1.2","148","15727","Application Data"
"394","98.834483","10.9.2.177","157.240.195.56","TLSv1.2","129","15821","Application Data"
