"No.","Time","Source","Destination","Protocol","Length","Sequence Number","Info"
"355","44.830248","10.9.2.177","157.240.195.56","TLSv1.2","150","13971","Application Data"
"356","45.228318","10.9.2.177","157.240.195.56","TLSv1.2","150","14067","Application Data"
"357","45.486078","10.9.2.177","157.240.195.56","TLSv1.2","150","14163","Application Data"
"358","45.748528","10.9.2.177","157.240.195.56","TLSv1.2","150","14259","Application Data"
"359","46.069699","10.9.2.177","157.240.195.56","TLSv1.2","150","14355","Application Data"
"360","46.382565","10.9.2.177","157.240.195.56","TLSv1.2","150","14451","Application Data"
"361","46.645828","10.9.2.177","157.240.195.56","TLSv1.2","150","14547","Application Data"
"362","47.157603","10.9.2.177","157.240.195.56","TLSv1.2","113","14643","Application Data"
"363","47.184728","10.9.2.177","157.240.195.56","TLSv1.2","150","14702","Application Data"
"364","47.246575","157.240.195.56","10.9.2.177","TLSv1.2","187","151512","Application Data"
"365","47.249574","10.9.2.177","157.240.195.56","TLSv1.2","146","14798","Application Data"
"366","47.482480","157.240.195.56","10.9.2.177","TLSv1.2","269","151645","Application Data"
"367","47.492985","10.9.2.177","157.240.195.56","TLSv1.2","146","14890","Application Data"
"368","47.497605","10.9.2.177","157.240.195.56","TLSv1.2","129","14982","Application Data"
"369","50.788585","10.9.2.177","157.240.195.56","TLSv1.2","124","15057","Application Data"
"370","51.018171","157.240.195.56","10.9.2.177","TLSv1.2","126","151860","Application Data"
"371","58.797321","157.240.195.56","10.9.2.177","TLSv1.2","1383","151932","Application Data"
"372","58.970823","10.9.2.177","157.240.195.56","TLSv1.2","150","15127","Application Data"
"373","58.974258","157.240.195.56","10.9.2.177","TLSv1.2","195","153261","Application Data"
"374","58.982633","10.9.2.177","157.240.195.56","TLSv1.2","154","15223","Application Data"
"375","65.173035","157.240.195.56","10.9.2.177","TCP","1434","153402","443  >  56568 [ACK] Seq=153402 Ack=15323 Win=1512 Len=1380 [TCP segment of a reassembled PDU]"
"376","65.173035","157.240.195.56","10.9.2.177","TLSv1.2","99","154782","Application Data"
"377","65.402593","10.9.2.177","157.240.195.56","TLSv1.2","150","15323","Application Data"
"378","65.562289","157.240.195.56","10.9.2.177","TLSv1.2","195","154827","Application Data"
"379","65.567206","10.9.2.177","157.240.195.56","TLSv1.2","154","15419","Application Data"
"380","67.057290","10.9.2.177","157.240.195.56","TLSv1.2","124","15519","Application Data"
"381","67.299579","157.240.195.56","10.9.2.177","TLSv1.2","126","154968","Application Data"
"382","73.955476","157.240.195.56","10.9.2.177","TCP","1434","155040","443  >  56568 [ACK] Seq=155040 Ack=15589 Win=1512 Len=1380 [TCP segment of a reassembled PDU]"
"383","73.955476","157.240.195.56","10.9.2.177","TLSv1.2","131","156420","Application Data"
"384","74.120200","10.9.2.177","157.240.195.56","TLSv1.2","150","15589","Application Data"
"385","74.124728","157.240.195.56","10.9.2.177","TLSv1.2","195","156497","Application Data"
"386","74.245067","10.9.2.177","157.240.195.56","TLSv1.2","154","15685","Application Data"
"387","90.776226","10.9.2.177","157.240.195.56","TLSv1.2","124","15785","Application Data"
"388","90.958118","157.240.195.56","10.9.2.177","TLSv1.2","126","156638","Application Data"
"389","102.560226","10.9.2.177","157.240.195.56","TLSv1.2","113","15855","Application Data"
"390","106.826040","157.240.195.56","10.9.2.177","TLSv1.2","142","156710","Application Data"
"391","106.830586","10.9.2.177","157.240.195.56","TLSv1.2","126","15914","Application Data"
"392","117.957990","10.9.2.177","157.240.195.56","TLSv1.2","124","15986","Application Data"
"393","118.111338","157.240.195.56","10.9.2.177","TLSv1.2","126","156798","Application Data"
"394","121.263793","157.240.195.56","10.9.2.177","TCP","1434","156870","443  >  56568 [ACK] Seq=156870 Ack=16056 Win=1512 Len=1380 [TCP segment of a reassembled PDU]"
"395","121.263793","157.240.195.56","10.9.2.177","TLSv1.2","187","158250","Application Data"
"396","121.263793","157.240.195.56","10.9.2.177","TCP","1434","158383","443  >  56568 [ACK] Seq=158383 Ack=16056 Win=1512 Len=1380 [TCP segment of a reassembled PDU]"
"397","121.263793","157.240.195.56","10.9.2.177","TLSv1.2","1269","159763","Application Data"
"398","121.263793","157.240.195.56","10.9.2.177","TCP","1434","160978","443  >  56568 [ACK] Seq=160978 Ack=16056 Win=1512 Len=1380 [TCP segment of a reassembled PDU]"
"399","121.263793","157.240.195.56","10.9.2.177","TLSv1.2","751","162358","Application Data, Application Data"
"400","121.392454","10.9.2.177","157.240.195.56","TLSv1.2","147","16056","Application Data"
"401","121.472178","157.240.195.56","10.9.2.177","TCP","1434","163055","443  >  56568 [ACK] Seq=163055 Ack=16056 Win=1512 Len=1380 [TCP segment of a reassembled PDU]"
"402","121.472178","157.240.195.56","10.9.2.177","TLSv1.2","187","164435","Application Data"
"403","121.472350","157.240.195.56","10.9.2.177","TCP","1434","164568","443  >  56568 [ACK] Seq=164568 Ack=16056 Win=1512 Len=1380 [TCP segment of a reassembled PDU]"
"404","121.472350","157.240.195.56","10.9.2.177","TLSv1.2","1269","165948","Application Data"
"405","121.472350","157.240.195.56","10.9.2.177","TCP","1434","167163","443  >  56568 [ACK] Seq=167163 Ack=16056 Win=1512 Len=1380 [TCP segment of a reassembled PDU]"
"406","121.472350","157.240.195.56","10.9.2.177","TLSv1.2","239","168543","Application Data, Application Data"
"407","121.586246","10.9.2.177","157.240.195.56","TLSv1.2","147","16149","Application Data"
