"No.","Time","Source","Destination","Protocol","Length","Sequence Number","Info"
"384","270.112867","157.240.195.56","10.9.2.177","TCP","1434","140157","443  >  56568 [ACK] Seq=140157 Ack=21503 Win=1795 Len=1380 [TCP segment of a reassembled PDU]"
"385","270.112867","157.240.195.56","10.9.2.177","TLSv1.2","195","141537","Application Data"
"386","270.276570","10.9.2.177","157.240.195.56","TLSv1.2","150","21597","Application Data"
"387","270.384499","157.240.195.56","10.9.2.177","TCP","1434","141678","443  >  56568 [ACK] Seq=141678 Ack=21693 Win=1795 Len=1380 [TCP segment of a reassembled PDU]"
"388","270.384499","157.240.195.56","10.9.2.177","TLSv1.2","187","143058","Application Data"
"389","270.384499","157.240.195.56","10.9.2.177","TCP","1434","143191","443  >  56568 [ACK] Seq=143191 Ack=21693 Win=1795 Len=1380 [TCP segment of a reassembled PDU]"
"390","270.386867","157.240.195.56","10.9.2.177","TLSv1.2","1270","144571","Application Data, Application Data"
"391","270.604913","10.9.2.177","157.240.195.56","TLSv1.2","150","21693","Application Data"
"392","270.695633","157.240.195.56","10.9.2.177","TCP","1434","145787","443  >  56568 [ACK] Seq=145787 Ack=21789 Win=1795 Len=1380 [TCP segment of a reassembled PDU]"
"393","270.695633","157.240.195.56","10.9.2.177","TLSv1.2","233","147167","Application Data, Application Data"
"394","270.862787","10.9.2.177","157.240.195.56","TLSv1.2","150","21789","Application Data"
"395","270.931931","157.240.195.56","10.9.2.177","TCP","1434","147346","443  >  56568 [ACK] Seq=147346 Ack=21885 Win=1795 Len=1380 [TCP segment of a reassembled PDU]"
"396","270.931931","157.240.195.56","10.9.2.177","TLSv1.2","361","148726","Application Data, Application Data"
"397","271.109442","10.9.2.177","157.240.195.56","TLSv1.2","150","21885","Application Data"
"398","271.253495","157.240.195.56","10.9.2.177","TCP","1434","149033","443  >  56568 [ACK] Seq=149033 Ack=21981 Win=1795 Len=1380 [TCP segment of a reassembled PDU]"
"399","271.253495","157.240.195.56","10.9.2.177","TLSv1.2","265","150413","Application Data, Application Data"
"400","271.422392","10.9.2.177","157.240.195.56","TLSv1.2","150","21981","Application Data"
"401","271.539221","157.240.195.56","10.9.2.177","TCP","1434","150624","443  >  56568 [ACK] Seq=150624 Ack=22077 Win=1795 Len=1380 [TCP segment of a reassembled PDU]"
"402","271.539221","157.240.195.56","10.9.2.177","TLSv1.2","569","152004","Application Data, Application Data"
"403","271.766375","157.240.195.56","10.9.2.177","TCP","1434","152519","443  >  56568 [ACK] Seq=152519 Ack=22077 Win=1795 Len=1380 [TCP segment of a reassembled PDU]"
"404","271.766375","157.240.195.56","10.9.2.177","TLSv1.2","873","153899","Application Data, Application Data"
"405","271.856237","10.9.2.177","157.240.195.56","TLSv1.2","150","22077","Application Data"
