"No.","Time","Source","Destination","Protocol","Length","Sequence Number","Info"
"508","426.450089","157.240.195.56","10.9.2.177","TLSv1.2","195","100210","Application Data"
"509","426.450089","157.240.195.56","10.9.2.177","TLSv1.2","870","100351","Application Data"
"510","426.462501","10.9.2.177","157.240.195.56","TLSv1.2","154","25301","Application Data"
"511","426.597255","157.240.195.56","10.9.2.177","TLSv1.2","870","101167","Application Data"
"512","426.597255","157.240.195.56","10.9.2.177","TLSv1.2","195","101983","Application Data"
"513","426.622578","10.9.2.177","157.240.195.56","TLSv1.2","154","25401","Application Data"
"514","426.837713","157.240.195.56","10.9.2.177","TLSv1.2","195","102124","Application Data"
"515","426.837713","157.240.195.56","10.9.2.177","TLSv1.2","870","102265","Application Data"
"516","426.961059","10.9.2.177","157.240.195.56","TLSv1.2","124","25501","Application Data"
"517","426.961250","10.9.2.177","157.240.195.56","TLSv1.2","154","25571","Application Data"
"518","426.966655","157.240.195.56","10.9.2.177","TLSv1.2","870","103081","Application Data"
"519","426.966655","157.240.195.56","10.9.2.177","TLSv1.2","195","103897","Application Data"
"520","426.969108","10.9.2.177","157.240.195.56","TLSv1.2","150","25671","Application Data"
"521","426.971430","10.9.2.177","157.240.195.56","TLSv1.2","154","25767","Application Data"
"522","427.110095","157.240.195.56","10.9.2.177","TLSv1.2","126","104038","Application Data"
"523","427.153316","157.240.195.56","10.9.2.177","TLSv1.2","195","104110","Application Data"
"524","427.155032","157.240.195.56","10.9.2.177","TLSv1.2","870","104251","Application Data"
"525","427.169476","10.9.2.177","157.240.195.56","TLSv1.2","154","25867","Application Data"
"526","427.329481","157.240.195.56","10.9.2.177","TLSv1.2","195","105067","Application Data"
"527","427.343123","10.9.2.177","157.240.195.56","TLSv1.2","154","25967","Application Data"
"528","427.349638","157.240.195.56","10.9.2.177","TLSv1.2","870","105208","Application Data"
"529","427.361197","10.9.2.177","157.240.195.56","TLSv1.2","150","26067","Application Data"
"530","427.720850","10.9.2.177","157.240.195.56","TLSv1.2","150","26163","Application Data"
"531","427.722271","157.240.195.56","10.9.2.177","TLSv1.2","195","106024","Application Data"
"532","427.727208","10.9.2.177","157.240.195.56","TLSv1.2","154","26259","Application Data"
"533","427.968370","10.9.2.177","157.240.195.56","TLSv1.2","150","26359","Application Data"
"534","428.170265","10.9.2.177","157.240.195.56","TLSv1.2","150","26455","Application Data"
"535","428.504598","10.9.2.177","157.240.195.56","TLSv1.2","150","26551","Application Data"
"536","428.751911","10.9.2.177","157.240.195.56","TLSv1.2","150","26647","Application Data"
"537","428.961686","10.9.2.177","157.240.195.56","TLSv1.2","150","26743","Application Data"
"538","429.177655","10.9.2.177","157.240.195.56","TLSv1.2","150","26839","Application Data"
"539","429.599901","10.9.2.177","157.240.195.56","TCP","1434","26935","56568  >  443 [ACK] Seq=26935 Ack=106165 Win=258 Len=1380 [TCP segment of a reassembled PDU]"
"540","429.599901","10.9.2.177","157.240.195.56","TCP","1434","28315","56568  >  443 [ACK] Seq=28315 Ack=106165 Win=258 Len=1380 [TCP segment of a reassembled PDU]"
"541","429.599901","10.9.2.177","157.240.195.56","TCP","1434","29695","56568  >  443 [ACK] Seq=29695 Ack=106165 Win=258 Len=1380 [TCP segment of a reassembled PDU]"
"542","429.599901","10.9.2.177","157.240.195.56","TCP","1434","31075","56568  >  443 [ACK] Seq=31075 Ack=106165 Win=258 Len=1380 [TCP segment of a reassembled PDU]"
